stenutz_name,cosmo_name,cas_number,chemical_formula,molecular_weight,density,molar_volume,refractive_index,molecular_refractive_power,dielectric_constant,dipole_moment,melting_point,boiling_point,viscosity,partition_coefficient,vapour_pressure,sigma_1,sigma_2,sigma_3,sigma_4,sigma_5
benzyl alcohol,benzylalcohol,100-51-6,C7H8O,108,1.044,103.6,1.54,32.5,13,1.71,-15,205,9.43,1.14,0.11,0.7325,13.3052,1.0565,0.3428,3.4727
benzyl chloride,(chloromethyl)-benzene,100-44-7,C7H7Cl,127,1.1,115.1,1.539,36.05,7,1.82,-39,179,1.64,2.39,0.89,0.3193,15.6818,0.0027,0,4.219
benzylamine,benzylamine,100-46-9,C7H9N,107,0.982,109.2,1.544,34.45,4.6,1.1,10,185,1.67,1.2,1.06,0.6092,14.0501,0.7874,0.0013,4.0152
biphenyl,biphenyl,92-52-4,C12H10,154,0.99,155.8,1.614,54.31,2.53,0,69,255,4.32,3.59,0.03,0.0477,19.877,0,0,4.6012
bis(2-chloroethyl) ether,bis(2-chloroethyl)ether,111-44-4,C4H8Cl2O,143,1.219,117.3,1.457,31.95,20.79,2.43,-50,178,1.3,1.42,0.34,0.5228,15.6233,0.6705,0,5.4504
bromobenzene,bromobenzene,108-86-1,C6H5Br,157,1.492,105.2,1.559,33.98,5.4,1.55,-31,156,1.08,2.66,3.17,0.2076,14.3755,0,0,3.2399
bromocyclohexane,bromocyclohexane,108-85-0,C6H11Br,163,1.336,122,1.495,35.59,7.92,2.2,-57,164,0.97,2.97,3.14,0.0083,15.5515,0.0499,0,1.0652
bromoethane,bromoethane,74-96-4,C2H5Br,109,1.47,74.1,1.425,18.95,4.9,2.04,-119,38,0.3,1.57,419.81,0.0671,10.2577,0.0114,0,2.0499
bromotrichloromethane,bromotrichloromethane,75-62-7,CBrCl3,198,2,99.1,1.506,29.45,2.47,0.4,-6,105,0.45,2.99,43.95,0.0573,13.8772,0,0,1.3044
butanal,butanal,123-72-8,C4H8O,72,0.811,88.9,1.394,21.28,13.4,2.72,-96,75,0.39,0.68,266.2,0.007,10.7517,1.4099,0,2.166
butane,butane,106-97-8,C4H10,58,0.579,100.4,1.333,20.63,1.77,0,-138,-1,0.18,2.81,4055.42,0,11.7502,0,0,0.0682
butanenitrile,butyronitrile,109-74-0,C4H7N,69,0.795,86.9,1.384,20.31,20.7,4.07,-112,118,0.46,0.26,34.15,0.2872,10.6019,1.3635,0,2.4474
butanethiol,butanethiol,109-79-5,C4H10S,90,0.842,107.2,1.443,28.38,4.95,1.53,-116,98,0.5,2.42,58.77,0.2506,13.3911,0.6949,0,1.5735
butanoic acid,butyricacid,107-92-6,C4H8O2,88,0.96,91.8,1.398,22.16,2.8,1.65,-8,164,4.9,0.68,1.82,0.8967,10.458,1.7777,0.6056,1.5856
butanol,1-butanol,71-36-3,C4H10O,74,0.81,91.5,1.399,22.16,17.51,1.75,-90,118,2.92,0.97,11.77,0.7391,10.9424,1.1477,0.3209,0.9353
butoxybenzene,butylphenylether,1126-79-0,C10H14O,150,0.934,160.8,1.497,47.06,3.73,1.19,-19,208,2.31,3.91,0.17,0.0384,20.5123,0.5353,0,2.9735
butylamine,1-butylamine,109-73-9,C4H11N,73,0.74,98.8,1.401,24.01,5.4,1,-49,77,0.49,1.21,153.76,0.5744,11.7539,0.8735,0,1.5537
carbon disulfide,cs2,75-15-0,CS2,76,1.26,60.4,1.628,21.44,2.64,0,-112,46,0.25,2.31,888.62,0,9.9513,0,0,0.1082
chlorobenzene,chlorobenzene,108-90-7,C6H5Cl,113,1.106,101.8,1.525,31.18,5.62,1.54,-45,132,0.86,2.5,12.24,0.2111,13.8897,0,0,3.1312
chlorocyclohexane,chlorocyclohexane,542-18-7,C6H11Cl,119,0.989,119.9,1.462,32.97,7.6,2.19,-44,142,0.84,2.8,7.53,0.0046,15.0875,0.0528,0,0.9945
"cis-1,2-dichloroethene","cis-1,2-dichloroethene",156-59-2,C2H2Cl2,97,1.282,75.6,1.446,20.17,9.2,2.95,-80,60,0.32,1.78,366.62,1.1748,9.9791,0,0,1.8803
cis-decalin,cis-decalin,493-01-6,C10H18,138,0.897,154.1,1.48,43.78,2.23,0,-43,193,1.28,4.35,3.06,0,18.1693,0,0,0.0288
cumene,isopropylbenzene,98-82-8,C9H12,120,0.857,140.3,1.491,40.62,2.38,0.65,-96,151,1.1,3.51,4.62,0.0041,17.5364,0,0,2.1168
cycloheptatriene,cycloheptatriene,544-25-2,C7H8,92,0.887,103.9,1.517,31.43,2.54,0.25,-80,116,0.79,2.43,28.7,0.0015,13.6582,0.092,0,2.4097
cyclohexanamine,cyclohexylamine,108-91-8,C6H13N,99,0.865,114.7,1.459,31.35,4.43,1.31,-18,135,1.29,1.57,9.86,0.4891,13.2928,0.7867,0,1.427
cyclohexanecarboxylic acid,cyclohexanecarboxylicacid,98-89-5,C7H12O2,128,1.025,125,1.454,33.84,2.67,0.9,31,233,13.32,1.69,0.06,0.8937,13.788,1.7457,0.6059,0.8899
cyclohexanol,cyclohexanol,108-93-0,C6H12O,100,0.949,105.5,1.465,29.18,15,1.85,26,161,6.08,1.3,0.93,0.6907,12.4213,1.1381,0.2958,0.774
cyclohexene,cyclohexene,110-83-8,C6H10,82,0.811,101.3,1.447,27.06,2.22,0.33,-104,83,0.47,2.74,178.45,0,12.7906,0.1885,0,0.4225
